,business_code,cust_number,name_customer,clear_date,buisness_year,doc_id,posting_date,document_create_date,due_in_date,invoice_currency,total_open_amount,baseline_create_date,cust_payment_terms,isOpen,U001,U002,U005,U007,U013,cust_PT_mean_delay,NC_mean_delay,CN_mean_delay,BC_mean_Delay,Delay,Aging Bucket,predicted_payment _date
99,U001,0200794332,COST llc,,2020.0,1930685614.0,2020-03-25,2020-03-23,2020-04-09,USD,2058.39,2020-03-25,NAAX,1,1,0,0,0,0,0.044468546637744036,-0.26436781609195403,-0.3619271445358402,0.5515259611573523,1,0-15 Days Delay,2020-04-10
105,U001,0200744019,TARG foundation,,2020.0,1930772406.0,2020-04-11,2020-04-09,2020-04-26,USD,24304.04,2020-04-11,NAA8,1,1,0,0,0,0,1.2996695966585625,1.8666666666666667,1.9760403530895334,0.5515259611573523,1,0-15 Days Delay,2020-04-27
106,U001,0200759878,SA co,,2020.0,1930585441.0,2020-03-02,2020-03-01,2020-05-06,USD,3191.4,2020-03-02,NAGD,1,1,0,0,0,0,-14.297979797979798,-0.36885245901639346,1.056710775047259,0.5515259611573523,1,0-15 Days Delay,2020-05-07
111,CA02,0140106408,WAL-M llc,,2020.0,2960627755.0,2020-04-11,2020-04-11,2020-04-21,CAD,22389.28,2020-04-11,CA10,1,0,0,0,0,0,6.353344208809135,8.80952380952381,9.632754342431761,6.940966010733453,6,0-15 Days Delay,2020-04-27
117,U001,0200769623,WAL-MAR in,,2020.0,1930716031.0,2020-03-29,2020-03-28,2020-04-13,USD,18526.97,2020-03-29,NAH4,1,1,0,0,0,0,-1.8744432862693072,-2.248820754716981,-2.2172067039106147,0.5515259611573523,-4,0-15 Days Delay,2020-04-09
119,U001,0200769623,WAL-MAR corporation,,2020.0,1930584095.0,2020-02-29,2020-02-29,2020-03-15,USD,2177.53,2020-02-29,NAH4,1,1,0,0,0,0,-1.8744432862693072,-2.0912280701754384,-2.2172067039106147,0.5515259611573523,-1,0-15 Days Delay,2020-03-14
122,U001,0200337148,COAS us,,2020.0,1930831048.0,2020-04-27,2020-04-27,2020-05-12,USD,49018.37,2020-04-27,NAA8,1,1,0,0,0,0,1.2996695966585625,-1.3333333333333333,-0.4842105263157895,0.5515259611573523,0,0-15 Days Delay,2020-05-12
135,U001,0200759878,SA corporation,,2020.0,1930673573.0,2020-03-22,2020-03-19,2020-04-06,USD,13822.62,2020-03-22,NAH4,1,1,0,0,0,0,-1.8744432862693072,1.7338709677419355,1.056710775047259,0.5515259611573523,0,0-15 Days Delay,2020-04-06
136,U001,0200703398,NEX systems,,2020.0,1930604768.0,2020-03-05,2020-03-05,2020-03-20,USD,130.68,2020-03-05,NAA8,1,1,0,0,0,0,1.2996695966585625,2.0,8.0,0.5515259611573523,1,0-15 Days Delay,2020-03-21
138,U001,0200769623,WAL-MAR in,,2020.0,1930723842.0,2020-04-01,2020-03-31,2020-04-16,USD,37170.83,2020-04-01,NAH4,1,1,0,0,0,0,-1.8744432862693072,-2.248820754716981,-2.2172067039106147,0.5515259611573523,-4,0-15 Days Delay,2020-04-12
139,U001,0200769623,WAL-MAR ,,2020.0,1930822233.0,2020-04-25,2020-04-24,2020-05-10,USD,1668.26,2020-04-25,NAH4,1,1,0,0,0,0,-1.8744432862693072,-2.1995221027479093,-2.2172067039106147,0.5515259611573523,-1,0-15 Days Delay,2020-05-09
140,U001,0200769623,WAL-MAR foundation,,2020.0,1930739852.0,2020-04-04,2020-04-03,2020-04-19,USD,51000.78,2020-04-04,NAH4,1,1,0,0,0,0,-1.8744432862693072,-2.585858585858586,-2.2172067039106147,0.5515259611573523,-4,0-15 Days Delay,2020-04-15
144,U001,0200759878,SA foundation,,2020.0,1930729205.0,2020-04-02,2020-04-01,2020-04-17,USD,140505.82,2020-04-02,NAH4,1,1,0,0,0,0,-1.8744432862693072,0.8360655737704918,1.056710775047259,0.5515259611573523,0,0-15 Days Delay,2020-04-17
149,U001,0200769623,WAL-MAR in,,2020.0,1930814000.0,2020-04-23,2020-04-22,2020-05-08,USD,10274.61,2020-04-23,NAH4,1,1,0,0,0,0,-1.8744432862693072,-2.248820754716981,-2.2172067039106147,0.5515259611573523,-4,0-15 Days Delay,2020-05-04
162,CA02,0140106408,WAL-M ,,2020.0,2960616960.0,2020-02-29,2020-02-29,2020-03-11,CAD,81099.41,2020-03-01,CA10,1,0,0,0,0,0,6.353344208809135,9.205882352941176,9.632754342431761,6.940966010733453,6,0-15 Days Delay,2020-03-17
165,U001,0200974851,RESTA associates,,2020.0,1930576019.0,2020-02-27,2020-02-27,2020-03-18,USD,1281.84,2020-02-27,NAD1,1,1,0,0,0,0,0.39819587628865977,0.23076923076923078,0.752851711026616,0.5515259611573523,0,0-15 Days Delay,2020-03-18
167,U001,0200748108,KROGER co,,2020.0,1930651734.0,2020-03-13,2020-03-14,2020-03-28,USD,128948.33,2020-03-13,NAA8,1,1,0,0,0,0,1.2996695966585625,0.5409836065573771,0.9705882352941176,0.5515259611573523,0,0-15 Days Delay,2020-03-28
169,U001,0100043949,HOME R trust,,2020.0,1930760075.0,2020-04-16,2020-04-07,2020-05-01,USD,16992.76,2020-04-16,NAA8,1,1,0,0,0,0,1.2996695966585625,0.0,-0.25,0.5515259611573523,0,0-15 Days Delay,2020-05-01
170,U001,0200769623,WAL-MAR in,,2020.0,1930599130.0,2020-03-05,2020-03-04,2020-03-20,USD,43590.77,2020-03-05,NAH4,1,1,0,0,0,0,-1.8744432862693072,-2.248820754716981,-2.2172067039106147,0.5515259611573523,-4,0-15 Days Delay,2020-03-16
173,U001,200704045,RA foundation,,2020.0,1930720456.0,2020-03-31,2020-03-30,2020-04-15,USD,8382.65,2020-03-31,NAA8,1,1,0,0,0,0,1.2996695966585625,0.9230769230769231,1.1428571428571428,0.5515259611573523,0,0-15 Days Delay,2020-04-15
176,CA02,0140104429,COSTCO in,,2020.0,2960621401.0,2020-03-14,2020-03-14,2020-03-26,CAD,59022.05,2020-03-16,CA10,1,0,0,0,0,0,6.353344208809135,4.428571428571429,4.589743589743589,6.940966010733453,8,0-15 Days Delay,2020-04-03
179,U001,0200769623,WAL-MAR associates,,2020.0,1930684045.0,2020-03-21,2020-03-21,2020-04-05,USD,15385.5,2020-03-21,NAH4,1,1,0,0,0,0,-1.8744432862693072,-2.21340782122905,-2.2172067039106147,0.5515259611573523,-1,0-15 Days Delay,2020-04-04
197,U001,0200769623,WAL-MAR trust,,2020.0,1930729907.0,2020-04-03,2020-04-01,2020-04-18,USD,33788.16,2020-04-03,NAH4,1,1,0,0,0,0,-1.8744432862693072,-2.336056009334889,-2.2172067039106147,0.5515259611573523,-4,0-15 Days Delay,2020-04-14
198,U001,0200769623,WAL-MAR corp,,2020.0,1930824565.0,2020-04-25,2020-04-24,2020-05-10,USD,26873.95,2020-04-25,NAH4,1,1,0,0,0,0,-1.8744432862693072,-2.4874429223744294,-2.2172067039106147,0.5515259611573523,-4,0-15 Days Delay,2020-05-06
213,U001,0200739534,OK co,,2020.0,1930752324.0,2020-04-06,2020-04-06,2020-04-21,USD,97732.13,2020-04-06,NAA8,1,1,0,0,0,0,1.2996695966585625,0.42857142857142855,0.2254335260115607,0.5515259611573523,0,0-15 Days Delay,2020-04-21
214,U001,0200762301,C&S WH systems,,2020.0,1930702280.0,2020-03-26,2020-03-25,2020-04-10,USD,443.63,2020-03-26,NAC6,1,1,0,0,0,0,0.8525096525096525,1.0341880341880343,-0.24568965517241378,0.5515259611573523,0,0-15 Days Delay,2020-04-10
215,U001,0200772670,ASSOCIAT systems,,2020.0,1930830465.0,2020-04-27,2020-04-27,2020-05-12,USD,54603.52,2020-04-27,NAU5,1,1,0,0,0,0,1.8945945945945946,1.8636363636363635,1.9311294765840221,0.5515259611573523,1,0-15 Days Delay,2020-05-13
217,U001,0200769623,WAL-MAR trust,,2020.0,1930796286.0,2020-04-18,2020-04-18,2020-05-03,USD,5550.95,2020-04-18,NAH4,1,1,0,0,0,0,-1.8744432862693072,-2.336056009334889,-2.2172067039106147,0.5515259611573523,-4,0-15 Days Delay,2020-04-29
227,U001,0200769623,WAL-MAR ,,2020.0,1930827419.0,2020-04-27,2020-04-25,2020-05-12,USD,2352.97,2020-04-27,NAH4,1,1,0,0,0,0,-1.8744432862693072,-2.1995221027479093,-2.2172067039106147,0.5515259611573523,-1,0-15 Days Delay,2020-05-11
233,U001,0200724999,GILSTE us,,2020.0,1930692471.0,2020-03-22,2020-03-24,2020-04-01,USD,43530.25,2020-03-22,NA10,1,1,0,0,0,0,4.203966005665722,5.0,6.375,0.5515259611573523,1,0-15 Days Delay,2020-04-02
241,U001,0200418007,AM trust,,2020.0,1930705056.0,2020-03-30,2020-03-30,2020-06-03,USD,25065.6,2020-03-30,NAGD,1,1,0,0,0,0,-14.297979797979798,-0.12121212121212122,-1.943069306930693,0.5515259611573523,0,0-15 Days Delay,2020-06-03
243,U001,200416837,DEC co,,2020.0,1930675692.0,2020-03-20,2020-03-20,2020-04-08,USD,3412.84,2020-03-16,NAM4,1,1,0,0,0,0,-7.338850174216028,-4.930693069306931,-3.769230769230769,0.5515259611573523,-13,0-15 Days Delay,2020-03-26
244,U001,CCU013,KRAFT F associates,,2020.0,1930673127.0,2020-03-23,2020-03-19,2020-03-23,USD,14185.77,2020-03-23,NAX2,1,1,0,0,0,0,44.69879518072289,40.51063829787234,44.017391304347825,0.5515259611573523,74,Delay greater than 60 days,2020-06-05
249,U001,0200726979,BJ'S  us,,2020.0,1930773854.0,2020-04-03,2020-04-10,2020-04-18,USD,349.25,2020-04-03,NAA8,1,1,0,0,0,0,1.2996695966585625,0.656934306569343,0.9156378600823045,0.5515259611573523,0,0-15 Days Delay,2020-04-18
253,U001,0200793568,SUPE corporation,,2020.0,1930767857.0,2020-04-16,2020-04-09,2020-05-01,USD,3782.84,2020-04-16,NAA8,1,1,0,0,0,0,1.2996695966585625,2.05,1.7174721189591078,0.5515259611573523,0,0-15 Days Delay,2020-05-01
269,U001,0200769623,WAL-MAR trust,,2020.0,1930684327.0,2020-03-22,2020-03-21,2020-04-06,USD,12510.05,2020-03-22,NAH4,1,1,0,0,0,0,-1.8744432862693072,-2.336056009334889,-2.2172067039106147,0.5515259611573523,-4,0-15 Days Delay,2020-04-02
270,U001,0200781803,JRD foundation,,2020.0,1930738710.0,2020-04-02,2020-04-02,2020-04-22,USD,1167.44,2020-04-02,NAD1,1,1,0,0,0,0,0.39819587628865977,0.0,0.2890625,0.5515259611573523,0,0-15 Days Delay,2020-04-22
271,U001,0200418007,AM corporation,,2020.0,1930799879.0,2020-04-19,2020-04-18,2020-05-04,USD,79333.46,2020-04-19,NAA8,1,1,0,0,0,0,1.2996695966585625,-1.4565217391304348,-1.943069306930693,0.5515259611573523,0,0-15 Days Delay,2020-05-04
272,U001,0200769623,WAL-MAR in,,2020.0,1930731681.0,2020-04-03,2020-04-02,2020-04-18,USD,13361.74,2020-04-03,NAH4,1,1,0,0,0,0,-1.8744432862693072,-2.248820754716981,-2.2172067039106147,0.5515259611573523,-4,0-15 Days Delay,2020-04-14
277,U001,0200769623,WAL-MAR trust,,2020.0,1930731991.0,2020-04-02,2020-04-02,2020-04-17,USD,26982.24,2020-04-02,NAH4,1,1,0,0,0,0,-1.8744432862693072,-2.336056009334889,-2.2172067039106147,0.5515259611573523,-4,0-15 Days Delay,2020-04-13
282,U001,0200726979,BJ'S  corp,,2020.0,1930581936.0,2020-02-28,2020-02-28,2020-03-14,USD,429.13,2020-02-28,NAA8,1,1,0,0,0,0,1.2996695966585625,0.9774436090225563,0.9156378600823045,0.5515259611573523,0,0-15 Days Delay,2020-03-14
287,U001,0200974851,RESTA foundation,,2020.0,1930625302.0,2020-03-09,2020-03-09,2020-03-24,USD,1565.46,2020-03-09,NAA8,1,1,0,0,0,0,1.2996695966585625,0.4583333333333333,0.752851711026616,0.5515259611573523,0,0-15 Days Delay,2020-03-24
288,U001,0200762301,C&S WH corp,,2020.0,1930724610.0,2020-04-01,2020-03-31,2020-04-16,USD,10599.55,2020-04-01,NAC6,1,1,0,0,0,0,0.8525096525096525,-0.7254901960784313,-0.24568965517241378,0.5515259611573523,0,0-15 Days Delay,2020-04-16
290,U001,0200769623,WAL-MAR foundation,,2020.0,1930684190.0,2020-03-21,2020-03-21,2020-04-05,USD,1898.9,2020-03-21,NAH4,1,1,0,0,0,0,-1.8744432862693072,-2.585858585858586,-2.2172067039106147,0.5515259611573523,-4,0-15 Days Delay,2020-04-01
292,U001,0200769623,WAL-MAR foundation,,2020.0,1930808848.0,2020-04-22,2020-04-21,2020-05-07,USD,5646.75,2020-04-22,NAH4,1,1,0,0,0,0,-1.8744432862693072,-2.585858585858586,-2.2172067039106147,0.5515259611573523,-4,0-15 Days Delay,2020-05-03
294,U001,0200769623,WAL-MAR corporation,,2020.0,1930825412.0,2020-04-26,2020-04-24,2020-05-11,USD,174.41,2020-04-26,NAH4,1,1,0,0,0,0,-1.8744432862693072,-2.0912280701754384,-2.2172067039106147,0.5515259611573523,-1,0-15 Days Delay,2020-05-10
299,U001,0200769623,WAL-MAR ,,2020.0,1930641621.0,2020-03-13,2020-03-11,2020-03-28,USD,49515.9,2020-03-13,NAH4,1,1,0,0,0,0,-1.8744432862693072,-2.1995221027479093,-2.2172067039106147,0.5515259611573523,-1,0-15 Days Delay,2020-03-27
305,U001,0200769623,WAL-MAR co,,2020.0,1930851721.0,2020-05-02,2020-05-02,2020-05-17,USD,6532.6,2020-05-02,NAH4,1,1,0,0,0,0,-1.8744432862693072,-2.2184154175588864,-2.2172067039106147,0.5515259611573523,-1,0-15 Days Delay,2020-05-16
321,U001,0200769623,WAL-MAR ,,2020.0,1930682056.0,2020-03-22,2020-03-21,2020-04-06,USD,6640.59,2020-03-22,NAH4,1,1,0,0,0,0,-1.8744432862693072,-2.1995221027479093,-2.2172067039106147,0.5515259611573523,-1,0-15 Days Delay,2020-04-05
339,U001,0200793830,M us,,2020.0,1930819041.0,2020-04-23,2020-04-23,2020-05-08,USD,13203.4,2020-04-23,NAA8,1,1,0,0,0,0,1.2996695966585625,-7.285714285714286,-4.72,0.5515259611573523,-16,0-15 Days Delay,2020-04-22
346,U001,0200769623,WAL-MAR ,,2020.0,1930580624.0,2020-02-28,2020-02-27,2020-03-14,USD,36707.45,2020-02-28,NAH4,1,1,0,0,0,0,-1.8744432862693072,-2.1995221027479093,-2.2172067039106147,0.5515259611573523,-1,0-15 Days Delay,2020-03-13
352,U001,0200769623,WAL-MAR corp,,2020.0,1930571204.0,2020-02-27,2020-02-26,2020-03-13,USD,14645.37,2020-02-27,NAH4,1,1,0,0,0,0,-1.8744432862693072,-2.4874429223744294,-2.2172067039106147,0.5515259611573523,-4,0-15 Days Delay,2020-03-09
355,U001,0200769623,WAL-MAR ,,2020.0,1930699743.0,2020-03-25,2020-03-25,2020-04-09,USD,63681.13,2020-03-25,NAH4,1,1,0,0,0,0,-1.8744432862693072,-2.1995221027479093,-2.2172067039106147,0.5515259611573523,-1,0-15 Days Delay,2020-04-08
356,U001,100031704,DELHAIZE foundation,,2020.0,1930624448.0,2020-03-10,2020-03-09,2020-05-14,USD,21235.62,2020-03-10,NAGD,1,1,0,0,0,0,-14.297979797979798,-0.22727272727272727,-1.0,0.5515259611573523,0,0-15 Days Delay,2020-05-14
363,U001,0200744019,TARG systems,,2020.0,1930661067.0,2020-03-18,2020-03-17,2020-04-02,USD,2169.57,2020-03-18,NAA8,1,1,0,0,0,0,1.2996695966585625,1.5416666666666667,1.9760403530895334,0.5515259611573523,1,0-15 Days Delay,2020-04-03
365,U001,200726979,BJ'S  corporation,,2020.0,1930660915.0,2020-03-18,2020-03-17,2020-04-02,USD,165.9,2020-03-18,NAA8,1,1,0,0,0,0,1.2996695966585625,1.1726618705035972,0.7857142857142857,0.5515259611573523,0,0-15 Days Delay,2020-04-02
366,CA02,0140104423,METRO  llc,,2020.0,2960622636.0,2020-03-19,2020-03-19,2020-04-01,CAD,136973.3,2020-03-22,CA10,1,0,0,0,0,0,6.353344208809135,2.0714285714285716,0.11724137931034483,6.940966010733453,3,0-15 Days Delay,2020-04-04
367,U001,0200508557,FOODL us,,2020.0,1930738986.0,2020-04-10,2020-04-03,2020-04-25,USD,1152.75,2020-04-10,NAA8,1,1,0,0,0,0,1.2996695966585625,1.2,1.032258064516129,0.5515259611573523,0,0-15 Days Delay,2020-04-25
373,CA02,0140104409,LOB associates,,2020.0,2960624283.0,2020-03-27,2020-03-27,2020-04-06,CAD,92716.49,2020-03-27,CA10,1,0,0,0,0,0,6.353344208809135,3.9318181818181817,1.6400966183574879,6.940966010733453,6,0-15 Days Delay,2020-04-12
376,U001,0200769623,WAL-MAR trust,,2020.0,1930782988.0,2020-04-14,2020-04-14,2020-04-29,USD,21473.68,2020-04-14,NAH4,1,1,0,0,0,0,-1.8744432862693072,-2.336056009334889,-2.2172067039106147,0.5515259611573523,-4,0-15 Days Delay,2020-04-25
381,U001,0200769623,WAL-MAR systems,,2020.0,1930666519.0,2020-03-18,2020-03-18,2020-04-02,USD,661.11,2020-03-18,NAH4,1,1,0,0,0,0,-1.8744432862693072,-1.9841849148418491,-2.2172067039106147,0.5515259611573523,-1,0-15 Days Delay,2020-04-01
389,U001,CCCA02,KRAFT  llc,,2020.0,1930592756.0,2020-03-03,2020-03-02,2020-04-07,USD,16497.0,2020-03-03,NAG2,1,1,0,0,0,0,7.32157394843962,7.690476190476191,7.659142212189616,0.5515259611573523,1,0-15 Days Delay,2020-04-08
395,U001,0200416837,DEC in,,2020.0,1930698881.0,2020-03-25,2020-03-25,2020-03-26,USD,18413.86,2020-03-16,NAM2,1,1,0,0,0,0,-0.4725490196078431,-3.6627906976744184,-4.484057971014493,0.5515259611573523,-13,0-15 Days Delay,2020-03-13
400,U001,0200769623,WAL-MAR associates,,2020.0,1930731174.0,2020-04-01,2020-04-01,2020-04-16,USD,2373.96,2020-04-01,NAH4,1,1,0,0,0,0,-1.8744432862693072,-2.21340782122905,-2.2172067039106147,0.5515259611573523,-1,0-15 Days Delay,2020-04-15
405,U001,0200726979,BJ'S  us,,2020.0,1930731627.0,2020-04-04,2020-04-02,2020-04-19,USD,13681.7,2020-04-04,NAA8,1,1,0,0,0,0,1.2996695966585625,0.656934306569343,0.9156378600823045,0.5515259611573523,0,0-15 Days Delay,2020-04-19
415,U001,0200769623,WAL-MAR corporation,,2020.0,1930823404.0,2020-04-25,2020-04-24,2020-05-10,USD,50450.8,2020-04-25,NAH4,1,1,0,0,0,0,-1.8744432862693072,-2.0912280701754384,-2.2172067039106147,0.5515259611573523,-1,0-15 Days Delay,2020-05-09
418,U001,0200759878,SA corp,,2020.0,1930818544.0,2020-04-25,2020-04-23,2020-05-10,USD,18211.69,2020-04-25,NAH4,1,1,0,0,0,0,-1.8744432862693072,-0.11607142857142858,1.056710775047259,0.5515259611573523,1,0-15 Days Delay,2020-05-11
419,U001,200794332,COST systems,,2020.0,1930872316.0,2020-05-07,2020-05-06,2020-05-22,USD,41196.66,2020-05-07,NAAX,1,1,0,0,0,0,0.044468546637744036,-0.735632183908046,-1.3,0.5515259611573523,0,0-15 Days Delay,2020-05-22
424,U001,0200772670,ASSOCIAT in,,2020.0,1930610498.0,2020-03-05,2020-03-06,2020-03-20,USD,36959.64,2020-03-05,NAU5,1,1,0,0,0,0,1.8945945945945946,2.9066666666666667,1.9311294765840221,0.5515259611573523,1,0-15 Days Delay,2020-03-21
429,U001,0200705742,DOT foundation,,2020.0,1930702270.0,2020-03-26,2020-03-25,2020-04-29,USD,3224.46,2020-03-26,NAAW,1,1,0,0,0,0,-15.267080745341614,-6.838235294117647,-6.768987341772152,0.5515259611573523,-21,0-15 Days Delay,2020-04-08
432,U001,0200726979,BJ'S  ,,2020.0,1930584273.0,2020-03-01,2020-02-29,2020-03-16,USD,268.45,2020-03-01,NAA8,1,1,0,0,0,0,1.2996695966585625,0.896969696969697,0.9156378600823045,0.5515259611573523,0,0-15 Days Delay,2020-03-16
443,U001,0200974851,RESTA in,,2020.0,1930661130.0,2020-03-16,2020-03-17,2020-03-31,USD,9878.61,2020-03-16,NAA8,1,1,0,0,0,0,1.2996695966585625,0.41379310344827586,0.752851711026616,0.5515259611573523,0,0-15 Days Delay,2020-03-31
446,U001,0200769623,WAL-MAR corporation,,2020.0,1930593002.0,2020-03-04,2020-03-02,2020-03-19,USD,52443.66,2020-03-04,NAH4,1,1,0,0,0,0,-1.8744432862693072,-2.0912280701754384,-2.2172067039106147,0.5515259611573523,-1,0-15 Days Delay,2020-03-18
449,U001,0200769623,WAL-MAR foundation,,2020.0,1930705141.0,2020-03-25,2020-03-26,2020-04-09,USD,33496.48,2020-03-25,NAH4,1,1,0,0,0,0,-1.8744432862693072,-2.585858585858586,-2.2172067039106147,0.5515259611573523,-4,0-15 Days Delay,2020-04-05
451,U001,0200769623,WAL-MAR corp,,2020.0,1930654620.0,2020-03-15,2020-03-15,2020-03-30,USD,3703.19,2020-03-15,NAH4,1,1,0,0,0,0,-1.8744432862693072,-2.4874429223744294,-2.2172067039106147,0.5515259611573523,-4,0-15 Days Delay,2020-03-26
452,U001,0200729942,SA foundation,,2020.0,1930733714.0,2020-04-08,2020-04-02,2020-04-23,USD,10213.5,2020-04-08,NAA8,1,1,0,0,0,0,1.2996695966585625,0.8360655737704918,-0.8780487804878049,0.5515259611573523,0,0-15 Days Delay,2020-04-23
453,U001,0200769623,WAL-MAR corp,,2020.0,1930585317.0,2020-03-03,2020-02-29,2020-03-18,USD,396.55,2020-03-03,NAH4,1,1,0,0,0,0,-1.8744432862693072,-2.4874429223744294,-2.2172067039106147,0.5515259611573523,-4,0-15 Days Delay,2020-03-14
456,U001,0200769623,WAL-MAR llc,,2020.0,1930597857.0,2020-03-03,2020-03-04,2020-03-18,USD,23749.59,2020-03-03,NAH4,1,1,0,0,0,0,-1.8744432862693072,-2.161290322580645,-2.2172067039106147,0.5515259611573523,-1,0-15 Days Delay,2020-03-17
462,U001,0200772670,ASSOCIAT co,,2020.0,1930809591.0,2020-04-21,2020-04-21,2020-05-06,USD,4510.92,2020-04-21,NAU5,1,1,0,0,0,0,1.8945945945945946,1.838235294117647,1.9311294765840221,0.5515259611573523,1,0-15 Days Delay,2020-05-07
463,U001,0200418007,AM ,,2020.0,1930577304.0,2020-02-28,2020-02-27,2020-03-14,USD,17559.32,2020-02-28,NAA8,1,1,0,0,0,0,1.2996695966585625,-0.1590909090909091,-1.943069306930693,0.5515259611573523,0,0-15 Days Delay,2020-03-14
471,U001,0200772595,SAFEW associates,,2020.0,1930745435.0,2020-04-06,2020-04-04,2020-04-21,USD,55148.86,2020-04-06,NAA8,1,1,0,0,0,0,1.2996695966585625,1.2777777777777777,0.6,0.5515259611573523,0,0-15 Days Delay,2020-04-21
480,U001,0200769623,WAL-MAR associates,,2020.0,1930635815.0,2020-03-13,2020-03-10,2020-03-28,USD,6361.71,2020-03-13,NAH4,1,1,0,0,0,0,-1.8744432862693072,-2.21340782122905,-2.2172067039106147,0.5515259611573523,-1,0-15 Days Delay,2020-03-27
490,U001,0100031704,DELHAIZE corporation,,2020.0,1930592307.0,2020-03-02,2020-03-02,2020-03-17,USD,111481.81,2020-03-02,NAA8,1,1,0,0,0,0,1.2996695966585625,-3.85,0.742671009771987,0.5515259611573523,-1,0-15 Days Delay,2020-03-16
496,U001,0200762301,C&S WH systems,,2020.0,1930675311.0,2020-03-20,2020-03-20,2020-04-04,USD,86899.12,2020-03-20,NAC6,1,1,0,0,0,0,0.8525096525096525,1.0341880341880343,-0.24568965517241378,0.5515259611573523,0,0-15 Days Delay,2020-04-04
497,U001,0200762301,C&S WH in,,2020.0,1930854436.0,2020-05-04,2020-05-03,2020-05-19,USD,64222.39,2020-05-04,NAC6,1,1,0,0,0,0,0.8525096525096525,0.5454545454545454,-0.24568965517241378,0.5515259611573523,0,0-15 Days Delay,2020-05-19
503,U001,0200762301,C&S WH trust,,2020.0,1930843840.0,2020-05-02,2020-04-30,2020-05-17,USD,74.16,2020-05-02,NAC6,1,1,0,0,0,0,0.8525096525096525,-0.15306122448979592,-0.24568965517241378,0.5515259611573523,0,0-15 Days Delay,2020-05-17
504,U001,0200820380,SMITH'S associates,,2020.0,1930687995.0,2020-03-24,2020-03-23,2020-04-08,USD,16883.35,2020-03-24,NAA8,1,1,0,0,0,0,1.2996695966585625,0.7142857142857143,0.4925373134328358,0.5515259611573523,0,0-15 Days Delay,2020-04-08
